	TCGA-CESC	TCGA-HNSC	TCGA-LUSC	TCGA-ESCA	TCGA-BRCA	TCGA-GBM	TCGA-OV	TCGA-LUAD	TCGA-UCEC	TCGA-KIRC	TCGA-LGG	TCGA-THCA	TCGA-PRAD	TCGA-SKCM	TCGA-COAD	TCGA-STAD	TCGA-BLCA	TCGA-LIHC	TCGA-KIRP	TCGA-SARC	TCGA-PAAD	TCGA-PCPG	TCGA-READ	TCGA-TGCT	TCGA-THYM	TCGA-KICH	TCGA-ACC	TCGA-MESO	TCGA-UVM	TCGA-DLBC	TCGA-UCS	TCGA-CHOL
amitostine,carboplatin,cisplatin,doxil,gomzar,paclitaxel,topotecan							1.0																									
carboplatin,doxil,paclitaxel,toptecan							1.0																									
carboplatin,gemcitabine,liposomal doxorubicin,paclitaxel,topotecan							1.0																									
carboplatin,etoposide,liposomal doxorubicin,paclitaxel,topotecan							1.0																									
carbo,cisplatin,paclitaxel							1.0																									
carbo,docetaxel,doxil,gemcitabine,paclitaxel,topotecan							1.0																									
carboplatin,cisplatin,cytoxan,doxil,gemcitabine,paclitaxel,topotecan,vinorelbine							1.0																									
carboplatin,docetaxel,tamoxifen							1.0																									
carboplatin,cisplatin,cyclophosphamide,docetaxel,gemcitabine,paclitaxel,topotecan							1.0																									
carboplatin,doxil,gog182,paclitaxel,topotecan							1.0																									
carboplatin,cisplatin,gemicitabine,paciltaxel							1.0																									
carboplatin,clinical trial,paclitaxel							1.0																									
bevacizumab or placebo,carboplatin,paclitaxel							1.0																									
carboplatin,docetaxel,irolfluvin							1.0																									
carboplatin,pemetrexed								10.0											1.0									4.0				
cisplatin,vinblastine								3.0																								
carboplatin,paclitaxel,pemetrexed								3.0																								
avastin,carboplatin,paclitaxel,pemetrexed								2.0																								
carboplatin,paclitaxel,tarceva								2.0																								
carboplatin,pemetrexed,tarceva								2.0																								
cisplatin,etoposide,gefitinib								2.0																								
cisplatin,gemcitabine,vinorelbine								2.0																								
placebo,tarceva								1.0																								
carboplatin,tarceva,vinorelbine								1.0																								
bevacizumab,cisplatin,pemetrexed								1.0																								
belinostat,carboplatin								1.0																								
carboplatin,gemcitabine,pemetrexed								1.0																								
carboplatin,cisplatin,gemcitabine,pemetrexed								1.0																								
carboplatin,paclitaxel,rec mage 3-as + as15 acs1 / placebo vaccine								1.0																								
[not available],carboplatin,gemcitabine								1.0																								
[not available],cisplatin,docetaxel,etoposide,gemcitabine,zoledronic acid								1.0																								
carboplatin,cisplatin,paclitaxel,vinorelbine								1.0																								
b12,carboplatin,neulasta,pemetrexed,xgeva								1.0																								
carboplatin,docetaxel,not specified,paclitaxel,pemetrexed,tarceva								1.0																								
[not available],cisplatin,docetaxel,gefitinib,gemcitabine								1.0																								
cisplatin,docetaxel,vp-16								1.0																								
carboplatin,pemetrexed disodium								1.0																								
carboplatin,gefitinib,paclitaxel,tarceva								1.0																								
cisplatin,pemetrexed,vinorelbine								1.0																								
bevacizumab,cisplatin,pemetrexed disodium								1.0																								
cisplatin,etoposide,gemcitabine								1.0																								
chemo, multi-agent, nos,chemo, nos								1.0																								
carboplatin,cpt-11,gemcitabine,paclitaxel								1.0																								
cisplatin,pemetrexed,tarceva								1.0																								
pemetrexed,tarceva								1.0																								
avastin,carboplatin,cisplatin,docetaxel,pemetrexed,tarceva								1.0																								
bevacizumab,cisplatin,gemcitabine								1.0																								
cisplatin,vinorelbine,zoledronic acid								1.0																								
avastin,carboplatin,docetaxel,topotecan								1.0																								
cisplatin,pemetrexed disodium								1.0																								
avastin,cisplatin,pemetrexed								1.0																								
bevacizumab,carboplatin,docetaxel,gemcitabine,paclitaxel,pemetrexed								1.0																								
cisplatin,docetaxel,pemetrexed								1.0																								
recprame+as15 asci								1.0																								
bevacizumab,carboplatin,cisplatin,docetaxel,gemcitabine,irinotecan,paclitaxel,pemetrexed,tarceva,vinorelbine								1.0																								
cisplatin,mdx-1106 clinical trial,pemetrexed								1.0																								
cisplatin,cyc-116/cyclocel,docetaxel,erlotonib,gemcitabine,paclitaxel,pemetrexed,vinorelbine								1.0																								
avastin,carboplatin,pemetrexed								1.0																								
almita,carboplatin,gemcitabine,pemetrexed								1.0																								
carboplatin,gemcitabine,paclitaxel,pemetrexed,tarceva								1.0																								
megace									9.0																							
carboplatin & paclitaxel									3.0																							
carboplatin and paclitaxel									2.0																							
adriamycin,cisplatin,paclitaxel									2.0																							
adriamycin,carboplatin,cisplatin,paclitaxel									2.0																							
carboplatin,clinical trial-study agent,paclitaxel									1.0																							
carboplatin,megace,paclitaxel									1.0																							
adriamycin,paclitaxel,tamoxifen & megace									1.0																							
carboplatin,doxorubicin,paclitaxel,temsirolimus									1.0																							
letrozole femara									1.0																							
portec3-radiation alone									1.0																							
brivanib,carboplatin,doxorubicin,gemcitabine,paclitaxel,tivozanib									1.0																							
adriamycin,carboplatin,docetaxel									1.0																							
carboplatin,doxorubicin hcl liposomal,paclitaxel,topotecan hcl									1.0																							
bevacizumab,carboplatin,ixabepilone									1.0																							
carboplatin,megace,paclitaxel,tamoxifen									1.0																							
arimidex,carboplatin									1.0																							
cisplatin,cyclophosphamide,doxorubicin									1.0																							
cisplatin,doxorubicin									1.0																							
azd6244,carboplatin,paclitaxel									1.0																							
adriamycin,avastin,carboplatin,cisplatin,fulvestrant,gemcitabine,paclitaxel									1.0																							
carboplatin,paclitaxel,zometa									1.0																							
bevacizumab,carboplatin,gemcitabine,ixabepilone,paclitaxel,topotecan									1.0																							
doxorubicin,paclitaxel									1.0																							
megace,tamoxifen									1.0											1.0												
adriamycin,carboplatin,cisplatin,neulasta,paclitaxel									1.0																							
carboplatin & paclitaxel,vegf-trap									1.0																							
carboplatin,gemcitabine,ixabepilone,paclitaxel									1.0																							
carboplatin/paclitaxel/bevacizumab,doxil & carboplatin									1.0																							
adriamycin,carboplatin,paclitaxel,topotecan									1.0																							
sunitinib										7.0									1.0							1.0						
sutent										6.0									2.0													
interleukin-2										4.0				2.0																		
interferon										4.0				17.0					1.0													
pazopanib										3.0									1.0													
sutent (sunitinib)										3.0																						
sorafenib										2.0								14.0	1.0							1.0	1.0					
oncophage										2.0																						
nexavar										2.0								3.0														
interferon alpha										1.0				5.0																		
avastin,azd,bortezomib,intron a,nab-rapamycin,pazopanib,roferon-a,sorafenib,sutent,temsirolimus										1.0																						
avastin,gemcitabine,interferon-alpha,thalidomide,xeloda										1.0																						
il-2 therapy (interleukin)										1.0																						
gefitinib,sorafenib,sunitinib										1.0																						
avastin,capecitabin,gemcitabine,nexavar,proleukin,tarceva										1.0																						
gemcitabine,interferon-alpha,xeloda										1.0																						
sunitinib (sutent)										1.0																						
sorafenib,sunitinib,temsirolimus										1.0									1.0													
zometa										1.0																						
afinitor,pazopanib										1.0																						
proleukin (il-2)										1.0																						
gefitinib,sorafenib,sunitinib,temsirolimus										1.0																						
avastin,tarceva										1.0																						
avastin,gemcitabine,tarceva,xeloda										1.0																						
ifn-alpha (intron)										1.0																						
interferon alpha,sorafenib										1.0																						
interferon,temsirolimus										1.0																						
perifosine,sorafenib										1.0																						
gemcitabine,interferon,oncophage,sorafenib,sunitinib,xeloda										1.0																						
il-2 (high dose)										1.0																						
sorafenib - nexavar										1.0																						
inf										1.0																						
bay-439006										1.0																						
avastin,gemcitabine,il-2,rad001										1.0																						
bevacizumab,pazopanib										1.0																						
avastin,axitnib,sutent										1.0																						
nexavaar,sutent										1.0																						
zd6474										1.0																						
bevacizumab,everolimus,pazopanib,sunitinib										1.0																						
interleukin 2-high dose										1.0																						
axitinib,interferon										1.0																						
5-fluorouracil,avastin,gemictiabine,interleukin-2										1.0																						
tyrosine kinase inhibitor										1.0																						
torisel										1.0																						
torisel,votrient										1.0																						
alpha interferon										1.0																						
avastin,capecitabine,intron a,oncophage,tarceva										1.0																						
afinitor,interferon,nexavar,sorafenib,sutent,tipifarnib										1.0																						
pazopanib,sunitinib										1.0																						
oncophage vaccine										1.0																						
temsirolimus										1.0									1.0													
bevacizumab,temsirolimus										1.0																						
oncophage vaccine,pazopanib										1.0																						
il-2,thalidomide										1.0																						
avastin,il-2,oncophage vaccine,tarceva										1.0																						
avastin,gemcitabine,interferon,iressa,xeloda										1.0																						
sorafenib,sunitinib										1.0								1.0														
everolimus,sorafenib,sunitinib										1.0																						
lomustine,procarbazine,vincristine											8.0																					
temozolamide											3.0																					
avastin,carboplatin,cpt-11,temodar,vp-16											2.0																					
lomustine,procarbazine,temozolomide,vincristine											2.0																					
hydroxyurea,pcv											2.0																					
bevacizumab,lomustine,temozolomide											2.0																					
ccnu,temodar											2.0																					
avastin,cpt-11,gleevec,temodar											1.0																					
bevacizumab,carmustin,temozolomide											1.0																					
ccnu,cpt-11,temozolomide,vp-16											1.0																					
ccnu,tamoxifen,temozolomide											1.0																					
avastin,ccnu,cpt-11,cytoxan,gleevec,hydroyurea,temozolomide,topotecan,vp-16											1.0																					
at 101,bcnu (carmustine),temozolomide											1.0																					
cilengitide,ps-341 bortrezomib,temozolomide											1.0																					
9 aminocamptothecin,bromo deoxyuridine,capecitabine,irinotecan,isotretinoin,pcv,tamoxifen,temozolomide											1.0																					
bevacizumab,carmustine,temozolomide,teniposide											1.0																					
avastin,cpt-11,mr1-1,temodar											1.0																					
bevacizumab,lomustine (ccnu),temozolomide											1.0																					
nimustine,temozolamide											1.0																					
benzylguanine,ccnu,celebrex,gliadel wafers,karenitecin,temodar,vp-16											1.0																					
procarbazine,sorafenib (bay 43-9006),temozolomide											1.0																					
avastin,ceenu,temodar											1.0																					
cilengtide,procarbazine,temozolomide											1.0																					
lomustine (ccnu),procarbazine,vincristine											1.0																					
afatinib,temozolomide											1.0																					
cdr0000654697											1.0																					
bevacizumab,irintotecan,temozolomide											1.0																					
fotemustine,temozolomide											1.0																					
lomustine,procarbazine,temodar,vincristine											1.0																					
isotrectinoin (acccutane),temozolomide											1.0																					
avastin,ccnu,cpt-11,temodar,vp-16											1.0																					
procarbazine,temozolomide											1.0																					
lomustin,procarbazine,vincristine											1.0																					
bevacizumab,irinotecan,temozlomide,temozolomide											1.0																					
ccnu,celebrex,cpt-11,procarbazine,tamoxifen,temozolomide,vincristine											1.0																					
capecitabine,celebrex,temozolomide											1.0																					
bevacizumab,lomustine,mibefradil,procarbazine,temozolomide											1.0																					
bevacizumab,carmustine,temozolamide											1.0																					
bcnu (carmustine),gliadel wafer,hydroxyurea											1.0																					
avastin											1.0																					
pcv,tamoxifen											1.0																					
i 131 81c6											1.0																					
carboplatin,ccnu,celebrex,temodar,vp-16											1.0																					
carboplatin,ccnu,celebrex,cpt-11,cytoxan,gliadel wafers,procarbazine,tamoxiten,temazolomide,temozolomide,vp-16											1.0																					
ccnu,cpt-11,i131-81c6,procarbazine,vincristine											1.0																					
bevacizumab,lomustin,pembrolizumab,temozolomide											1.0																					
avastin,carboplatin,ccnu,cyclophosphamide,gliadel,karenitecin,tamoxifen,temodar,thalidomide											1.0																					
gleevec,temodar											1.0																					
temodar,temozolamide											1.0																					
i131-81c6											1.0																					
carmustine,teniposide											1.0																					
avastin,mustophoran,themozolomide											1.0																					
avastin,ccnu,temodar,vp-16											1.0																					
avastin,ccnu,tarceva,temodar,vp-16											1.0																					
carmustine,temozolamide,temozolomide											1.0																					
carmustine (bcnu),cis-retinoic acid,onyx-015,su101,temozolomide											1.0																					
avastin,bcnu,temodar											1.0																					
bcnu											1.0																					
ccnu,celebrex,cloretazine,karerltecin,magi131-81c6,tamoxifen,temozolomide,vp-16											1.0																					
avastin,temodar,vinblastine											1.0																					
carmustine bcnu											1.0																					
avastin,carboplatin 5 auc,ccnu,etoposide,hydroxyurea,imatinib,temodar											1.0																					
ccnu,celebrex,temodar											1.0																					
procarbazine,tomaxifen											1.0																					
bevacizumab,carboplatin,lomustine,procarbazine,temozolomide,vincristine (sulfate)											1.0																					
bevacizumab,carmustine,irinotecan,temozolomide											1.0																					
synthroid												13.0																				
levothyroxine												12.0																				
cytomel,synthroid												5.0																				
cytomel,levothyroxine												4.0																				
doxorubicin												2.0								3.0												
levoxyl												2.0																				
cytomel,levoxyl												2.0																				
cytomel,levothroid,synthroid												1.0																				
armour thyroid												1.0																				
cytomel												1.0																				
lupron													12.0																			
eligard													6.0																			
casodex,lupron													6.0																			
casodex,zoladex													3.0																			
leuprolide													3.0																			
lhrh agonist													3.0																			
casodex,eligard													2.0																			
leuprorelin													2.0																			
abiraterone,leuprolide acetate													2.0																			
casodex,trelstar													2.0																			
casodex,eligard,lupron													2.0																			
bicalutamide,lupron													1.0																			
firmagon													1.0																			
lupron,zoladex													1.0																			
bicalutamide													1.0																			
casodex													1.0																			
degarelix,docetaxel,jevtana,lupron													1.0																			
casodex,leuprolide acetate													1.0																			
leuprorelin,triptorelin													1.0																			
casodex,goserelin													1.0																			
casodex,luprolide depot,lupron													1.0																			
trenantone													1.0																			
leuprolide acetate,lupron													1.0																			
bicalutamide,leuprorelin,zoledronic acid													1.0																			
abiraterone,cabazitaxel,carboplatin,leuprolide acetate													1.0																			
"lhrh agonist and anti-androgens ""combined androgen blockade"""													1.0																			
casodex,leuprolide													1.0																			
casodex,ketoconazole,lupron													1.0																			
leuprolide,leuprolide acetate													1.0																			
cabazitaxel,casodex,docetaxel,zoladex													1.0																			
casodex,lupron,nilutamide													1.0																			
casodex,docetaxel,lupron													1.0																			
bicalutamid													1.0																			
abiraterone,leuprolide,lupron													1.0																			
goserelin													1.0																			
leuprolide acetate													1.0																			
dacarbazine														9.0																		
ipilimumab														8.0																		
vemurafenib														4.0																		
fotemustine														3.0															4.0			
mel-44														2.0																		
dacarbazine,vincristine														2.0																		
sylatron														2.0																		
carboplatin,dacarbazine														2.0																		
[not available],il2														1.0																		
pembrolizumab														1.0																		
dacabarzine														1.0																		
dacarbazine,ipilimumab														1.0																		
carmustine,cisplatin,dacarbazine,tamoxifen														1.0																		
gp100,mage-3														1.0																		
cancer vax														1.0																		
interferon,yervoy														1.0																		
actinomycin-d,gp100,melphalan,resiquimod														1.0																		
interferon alfa														1.0																		
dabrafenib,gsk braf inhibitor,paclitaxel,trametinib,yervoy														1.0																		
axitinib,imiquimod,ipilimumab,melphalan														1.0																		
[not available],dabrafenib,ipilimumab,vemurafenib														1.0																		
dtic,patrin														1.0																		
dabrafenib,ipilimumab,melphalan,vemurafenib														1.0																		
il-2,ipilimumab,vemurafenib														1.0																		
interferon-alfa														1.0																		
dtic,gemcitabine,interferon alpha,treosulfan														1.0																		
interferon alfa-2b														1.0																		
aflibercept,il-2,ipilimumab														1.0																		
pi88														1.0																		
pembrolizumab,vemurafenib														1.0																		
pnu-159548														1.0																		
carboplatin,dacarbazine,ipilimumab														1.0																		
gm-csf														1.0																		
autologous vaccine,vmcl														1.0																		
braf inhibitor														1.0																		
dabrafenib,vemurafenib														1.0																		
yervoy														1.0																		
lomustine														1.0																		
[not available],paclitaxel,temodar														1.0																		
ipilimumab,pembrolizumab														1.0																		
gp-100,lupron														1.0																		
cancer vax,dacarbazine														1.0																		
cisplatin,dacarbazine,interferon-?2,interleukin-2,tamoxifen,vinblastine														1.0																		
carboplatin,dacarbazine,laferon														1.0																		
2b3-101														1.0																		
pv-10														1.0																		
ciclosporin,cisplatin,dacarbazine,dexamethasone,erythropoietin,renamin,vinblastine,zofran														1.0																		
recmage- a3														1.0																		
cisplatin,dacarbazine,vinblastine														1.0																		
carboplatin,cisplatin,dacarbazine,laferon,temozolomide														1.0																		
nivolumab														1.0																		
cisplatin,dacarbazine,leukine,vinblastine														1.0																		
cisplatin,dacarbazine,interferon alpha														1.0																		
dacarbazine,fotemustine,morab-004														1.0																		
[not available],cyclophosphamide														1.0																		
[not available],vemurafenib														1.0																		
fareston,lomustine														1.0																		
carboplatin,ipilimumab,paclitaxel,pembrolizumab														1.0																		
dacarbazine,il-18														1.0																		
bleomycin,dacarbazine,vinblastine														1.0																		
angiocal,carboplatin paclitaxel,carboplatin_paclitaxel,dtic,paclitaxel														1.0																		
dabrafenib,trametinib														1.0																		
mage a3														1.0																		
alkeran														1.0																		
[not available],interferon														1.0																		
actinomycin d,melphalan,vemurafenib														1.0																		
avastin,carboplatin,paclitaxel,yervoy														1.0																		
alferon,cisplatin,dacarbazine,temodal														1.0																		
axitinib,ipilimumab														1.0																		
ipilimumab,talimogene laherparepvec (t-vec)														1.0																		
dacarbazine,interferon,interleukin - 2														1.0																		
[not available],gemcitabine,herceptin,interferon,tamoxifen														1.0																		
actinomycin-d,melphalan														1.0																		
diphencyprone														1.0																		
5-fluorouracil,leucovorin,oxaliplatin															32.0	4.0							14.0									
5-fluorouracil,folinic acid,oxaliplatin															24.0								6.0									
5-fluorouracil,erbitux,leucovorin,oxaliplatin															3.0																	
5-fluorouracil,bevacizumab,oxaliplatin															3.0																	
5-fluorouracil,bevacizumab,folinic acid,irinotecan															3.0																	
folfox															3.0								2.0									
5- fu,5-fluorouracil,leucovorin,oxaliplatin															2.0																	
5-fluorouracil,folinic acid,irinotecan															2.0																	
5-fluorouracil,bevacizumab,leucovorin,oxaliplatin															2.0																	
5-fluorouracil,avastin,irinotecan,leucovorin,oxaliplatin															2.0																	
capecitabine,oxaliplatin															2.0																	
5-fluorouracil,folinic acid															2.0								3.0									
5-fluorouracil,bevacizumab,folinic acid,irinotecan,oxaliplatin															2.0								1.0									
5-fluorouracil,bevacizumab,capecitabine,erbitux,folinic acid,irinotecan															1.0																	
5-fluorouracil,erbitux,floxuridine,irinotecan hcl,leucovorin calcium,oxaliplatin,pegfilgrastim															1.0																	
5-fluorouracil,avastin,camptosar,folinic acid															1.0																	
5-fluorouracil,avastin,bevacizumab,erbitux,irinotecan,leucovorin,oxaliplatin,xeloda															1.0																	
5-fluorouracil,avastin,bevacizumab,camptosar,capecitabine,irinotecan,leucovorin,mitomycin,oxaliplatin															1.0																	
oxaliplatin															1.0																	
5-fluorouracil,filgrastim (g-csf),leucovorin,oxaliplatin,pegfilgrastim (peg g-csf)															1.0																	
5-fluorouracil,avastin,bevacizumab,capecitabine,leucovorin calcium,oxaliplatin,regorafenib															1.0																	
5-fluorouracil,leucovorin calcium,oxaliplatin,pegfilgrastim															1.0								1.0									
5-fluorouracil,folfiri															1.0																	
5-fluorouracil,dexamethasone,floxuridine,irinotecan hcl,leucovorin,oxaliplatin															1.0																	
5-fluorouracil,leucovorin calcium,oxaliplatin															1.0								3.0									
5- fu,leucovorin,oxaliplatin															1.0																	
5-fluorouracil,bevacizumab,irinotecan,leucovorin,oxaliplatin															1.0																	
5-fluorouracil,irinotecan,oxaliplatin,xeloda															1.0																	
5-fluorouracil,bevacizumab,erbitux,irinotecan,leucovorin,oxaliplatin															1.0																	
capecitabine,oxaliplatin,raltitrexed															1.0																	
folfiri,mayo 425-20															1.0																	
5-fluoruoracil,bevacizumab,capecitabine,folinic acid,oxaliplatin															1.0																	
erbitux,irinotecan															1.0																	
5-fluorouracil,avastin,erbitux,irinotecan,leucovorin,oxaliplatin,study drug amg 655															1.0																	
5-fluorouracil,leucovorin,oxaliplatin,pegfilgrastim															1.0																	
avastin,folinic acid,leucovorin															1.0																	
5-fluorouracil,bevacizumab,erbitux,floxuridine,irinotecan hcl,leucovorin,leucovorin calcium,oxaliplatin															1.0																	
5-fluorouracil,bevacizumab,capecitabine,folinic acid,oxaliplatin															1.0																	
5-fluorouracil,avastin,bevacizumab,leucovorin,levcovorin,oxaliplatin															1.0																	
bevacizumab,capecitabine,irinotecan,mitomycin,oxaliplatin,vectibix															1.0																	
5-fluorouracil,bevacizumab,oxaliplatin,xeloda															1.0																	
5-fluorouracil,cpt-11,leucovorin															1.0																	
5-fluorouracil,bevacizumab,capecitabine,oxaliplatin															1.0																	
5-fluorouracil,avastin,erbitux,irinotecan,leucovorin,oxaliplatin															1.0																	
5-fluorouracil,bevacizumab,leucovorin,oxaliplatin,xeloda															1.0																	
5-fluorouracil,folfox,leucovorin,oxaliplatin															1.0																	
5-fluorouracil,leucovorin,oxaliplatin,xeloda															1.0	1.0							1.0									
5-fluorouracil,avastin,bevacizumab,erbitux,irinotecan,leucovorin,oxaliplatin															1.0																	
floxuridine,irinotecan hcl,oxaliplatin															1.0																	
5-fluorouracil,avastin,irinotecan,leucovorin,levcovorin,mitomycin c,oxaliplatin															1.0																	
5-fluorouracil,capecitabine,erbitux,folinic acid,irinotecan,oxaliplatin															1.0																	
5-fluorouracil,bevacizumab,erbitux,folinic acid,irinotecan															1.0																	
c1 folfiri/zaltrap,erbitux,folfiri/avastin,folfox															1.0																	
5-fluorouracil,etoposide,leucovorin																10.0																
5-flourouracil,cisplatin,epirubicin																7.0																
capecitabine,cisplatin,epirubicin																6.0																
5-fluorouracil,cisplatin,folinic acid																4.0																
doxifluridine																4.0																
dexamethasone,epirubicin,oxaliplatin,xeloda																3.0																
copolang,didox																3.0																
ts-1																2.0																
cisplatin,irinotecan																2.0																
5-fluorouracil,cisplatin,etoposide,leucovorin																2.0																
unkown																1.0																
5-fluorouracil,etoposide,leucovorin,oxaliplatin																1.0																
5-fluorouracil,xelox																1.0																
5-fluorouracil,leucovorin,xeloda																1.0																
5-fluorouracil,cisplatin,doxorubicin																1.0																
5-fluorouracil,carboplatin,cisplatin,leucovorin																1.0																
5-fluorouracil,capecitabine,cisplatin,folinic acid																1.0																
5-flourouracil,cisplatin,docetaxel																1.0																
xelox																1.0																
5-fluorouracil,leucovorin,vp-16																1.0																
epirubicin,oxaliplatin,xeloda																1.0																
epirubicin,oxaliplatin,paclitaxel,xeloda																1.0																
carboplatin,taxel																1.0																
5-fluorouracil,cisplatin,docetaxel,leucovorin																1.0																
cyclophosphane,dacarbazine,doxorubicin,vincristine																1.0																
5-fluorouracil,docetaxel,erbitux,folinic acid,oxaliplatin																1.0																
5-fluorouracil,leucovorin,polyplatillen																1.0																
5-fluorouracil,camptosar,methotrexate																1.0																
5-fluorouracil,cisplatin,leucovorin																1.0																
didox																1.0																
eloxatin(oxaliplatin),ts-1,xeloda(capecitabine)																1.0																
plfe																1.0																
5-fluorouracil,cisplatin,etoposide,leucovorin,polyplatillen																1.0																
5-fluorouracil,cisplatin,folinic acid,irinotecan																1.0																
cisplatin,ts-1,xeloda																1.0																
5-fluorouracil,etoposide phosphate,leucovorin																1.0																
5-fluorouracil,cepecitabine,cisplatin,epirubicin,leucovorin																1.0																
5-fluorouracil,capecitabine,oxaliplatin																1.0																
5-fluorouracil,carboplatin,etoposide,leucovorin																1.0																
dexamethasone,epirubicin,oxaliplatin																1.0																
capecytabinum,cisplatin,epirubicinum																1.0																
oxaliplatin,xeloda																1.0							1.0									
cddp,paclitaxel																1.0																
5-fluorouracil,cisplatin,epirubicin,leucovorin																1.0																
copolang caps,doxifluridine,mitomycin c																1.0																
cisplatin,dexamethasone,epirubicin,leukine,oxaliplatin																1.0																
5-fluorouracil,capecytabinum,epirubicinum,oxaliplatinum																1.0																
5-fluorouracil,cisplatin,docetaxel,folinic acid,mitomycin																1.0																
5-fluorouracil,calcium foliatum,cisplatin,epirubicinum																1.0																
5-fluorouracil,capecitabine,epirubicin,leucovorin,oxaliplatin																1.0																
capecitabine,flc																1.0																
5-fluorouracil,carboplatin,etoposide																1.0																
5-fluorouracil,leucovorin,oxaloplatin																1.0																
5-fluorouracil,calcium foliatum,etc posidum																1.0																
5-fluorouracil,cisplatin,etoposide,leucovorin,oxaliplatin																1.0																
copolang,doxifluridine,mitomycin																1.0																
plfe/flo																1.0																
5-fluorouracil,capecytabinum,cisplatin,dexamethasone phosphate,docetaxelum,epirubicin,oxaliplatin																1.0																
capecitabine,oxaliplatin,xeloda																1.0																
doxifluridin																1.0																
copolang,doxifluridine,eloxatin,micomycin,xeloda																1.0																
epirubicin,halaven,medrol,oxaliplatin																1.0																
adriamycin,cisplatin,methotrexate,vinblastine																	4.0															
bcg																	3.0															
cisplatin,gemcitabine,paclitaxel																	3.0															
cisplatin,doxorubicin,methotrexate,vinblastine																	3.0															
gemcitabine,platinum																	2.0															
cisplatnin,gemcitabine																	1.0															
cisplatin,ifosfamide,paclitaxel																	1.0															
cddp,gemcitabine																	1.0															
cisplatin,doxorubicin,methotrexate,tarceva,vinblastine																	1.0															
etoposide,paclitaxel																	1.0															
bcg,cisplatin,gemcitabine,saha/vorinostat																	1.0															
bcg, intravesicular,gemcitabine,platinol																	1.0															
cisplatin,doxorubicin,gemcitabine,methotrexate,vinblastine																	1.0															
cisplatin,doxorubicin,gemcitabine,ifosfamide,methotrexate,vinblastine																	1.0															
carboplatin,etopside																	1.0															
cisplatin,gemcitabine,ifosfamide,paclitaxel																	1.0															
carboplatin,doxorubicin,etoposide																	1.0															
adriamycin (doxorubicin),cisplatin,gemcitabine,halichondrin,ifosfamide,paclitaxel,temsirolimus,vinorelbine																	1.0															
5-fluorouracil,carboplatin																	1.0															
bacillus calmette-guerin (bcg),doxobubicin																	1.0															
avastin,cisplatin,doxorubicin,methotrexate,vinblastine																	1.0															
ipilimumab,nivolumab																	1.0															
cisplatin,ifosfamide,mesna,paclitaxel																	1.0															
[not available],cisplatin,docetaxel,gemcitabine																	1.0															
cisplatin,docetaxel +/- zactima,gemcitabine,ifosfamide,paclitaxel																	1.0															
[not available],cisplatin,fosaprepitant,gemcitabine																	1.0															
gemcitabine and cisplatin																	1.0															
docetaxel,doxorubicin,halichondrin b,ifosfamide,mesna																	1.0															
adriamycin,carboplatin,cisplatin,gemcitabine,methotrexate,vinblastine																	1.0															
naxavar																		3.0														
everolimus,naxavar,som 230																		1.0														
sorafinib ( nexavar)																		1.0														
doxorubicin,everolimus, gemcitabine, and cisplatin,sorafenib																		1.0														
abt-888 and temozolomide,sorafenib,temozolomide																		1.0														
regorafenib,sarafenib																		1.0														
alvesin																		1.0														
adriamycin,gemcitabine,mitomycin c,tamoxifen																		1.0														
5-fluorouracil,[not available],oxaliplatin,sorafenib																		1.0														
adriamycin/cytoxan																		1.0														
cisplatin,gemcitabine,sorafenib,temsirolimus																		1.0														
abt-888,ly228820,sorafenib,temozolomide																		1.0														
hec.1 - sorafenib vs sorafenib plus doxorubicin																		1.0														
everolimus																			1.0													
afinitor																			1.0													
psma dna vaccine,sunitinib,temsirolimus																			1.0													
naxavar,sunitinib																			1.0													
sutent,temsirolimus																			1.0													
afinitor,sutent																			1.0													
sunitinib,temsirolimus																			1.0													
adriamycin,cytoxan,rituxan,vincristine																			1.0													
sunitinib,votrient																			1.0													
intron a																			1.0													
sorafenib,temsirolimus																			1.0													
bevacizumab,sorafenib,sunitinib,temsirolimus																			1.0							1.0						
17-aag																			1.0													
adriamycin																				5.0												
doxil																				3.0												
adriamycin,ifosfamide																				2.0												
docetaxel,gemcitabine,pazopanib																				2.0												
docetaxel,gemcitabine,pd 0332991																				2.0												
ifosfamide																				2.0											1.0	
adriamycin,docetaxel,gemcitabine,ifosfamide																				2.0												
docetaxel,doxorubicin,gemcitabine																				1.0												
adriamycin,doxil,ifosfamide																				1.0												
docetaxel,gemcitabine,liposomal doxorubicin																				1.0												
avastin,everolimus,tivozanib																				1.0												
adriamycin,docetaxel,doxil,gemcitabine,ifosfamide																				1.0												
ifosfamide,pd 0332991																				1.0												
adriamycin,dacarbazine,docetaxel,gemcitabine																				1.0												
doxorubicin,gleevec,raloxifene,sorafenib,sulindac,tamoxifen																				1.0												
adriamycin,docetaxel,gemcitabine																				1.0												
adriamycin,docetaxel,femara,gemcitabine																				1.0												
adriamycin,carboplatin,docetaxel,gemcitabine,ifosfamide																				1.0												
doxil,everolimus,gemcitabine,pazopanib,r1507																				1.0												
dacarbazine,docetaxel,doxorubicin,et-743,gemcitabine,pazopanib																				1.0												
doxil,gemcitabine																				1.0												
adriamycin,dacarbazine,ifosfamide																				1.0												
dacarbazine,docetaxel,doxil,doxorubicin,gemcitabine,ifosfamide,pazopanib																				1.0												
adriamycin,ifosfamide,mesna																				1.0												
